image_id,filepath,label,source,generator_name,generator_family,width,height,format,collection_date,split,notes,pexels_url,photographer,query
2246789,data/raw/real/pexels/pexels_2246789.jpg,real,pexels,,,3072,3840,jpg,2026-03-23,,,https://www.pexels.com/photo/person-wearing-black-jacket-holding-black-umbrella-walking-on-street-2246789/,Ethan Brooke,people
4260315,data/raw/real/pexels/pexels_4260315.jpg,real,pexels,,,7360,4912,jpg,2026-03-23,,,https://www.pexels.com/photo/mother-helping-her-daughter-with-homework-4260315/,August de Richelieu,people
33017758,data/raw/real/pexels/pexels_33017758.jpg,real,pexels,,,4480,6720,jpg,2026-03-23,,,https://www.pexels.com/photo/group-gathering-in-a-portuguese-park-33017758/,João  Jesus,people
27009846,data/raw/real/pexels/pexels_27009846.jpg,real,pexels,,,6000,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/pesona-adat-dan-tradisi-suku-dayak-27009846/,Andar Motret,people
5082949,data/raw/real/pexels/pexels_5082949.jpg,real,pexels,,,8213,5475,jpg,2026-03-23,,,https://www.pexels.com/photo/man-in-brown-crew-neck-shirt-standing-beside-woman-in-pink-crew-neck-shirt-5082949/,Vanessa Loring,people
17737871,data/raw/real/pexels/pexels_17737871.jpg,real,pexels,,,4000,6000,jpg,2026-03-23,,,https://www.pexels.com/photo/black-and-white-photo-of-a-girl-sitting-at-the-bus-station-17737871/,Igor Meghega,people
17586141,data/raw/real/pexels/pexels_17586141.jpg,real,pexels,,,5365,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/people-walking-in-darkness-in-hall-17586141/,Declan Sun,people
708440,data/raw/real/pexels/pexels_708440.jpg,real,pexels,,,5173,3648,jpg,2026-03-23,,,https://www.pexels.com/photo/men-s-white-button-up-dress-shirt-708440/,Helena Lopes,people
8396309,data/raw/real/pexels/pexels_8396309.jpg,real,pexels,,,6720,4480,jpg,2026-03-23,,,https://www.pexels.com/photo/women-looking-at-clothes-8396309/,Ron Lach,people
2884576,data/raw/real/pexels/pexels_2884576.jpg,real,pexels,,,5182,3455,jpg,2026-03-23,,,https://www.pexels.com/photo/group-of-people-beside-street-2884576/,zhang kaiyv,people
17680003,data/raw/real/pexels/pexels_17680003.jpg,real,pexels,,,6000,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-worker-operating-a-laptop-17680003/,Declan Sun,people
29870955,data/raw/real/pexels/pexels_29870955.jpg,real,pexels,,,3075,4676,jpg,2026-03-23,,,https://www.pexels.com/photo/dramatic-silhouette-of-two-people-in-conversation-29870955/,Feodor Chistyakov,people
1037989,data/raw/real/pexels/pexels_1037989.jpg,real,pexels,,,4272,2848,jpg,2026-03-23,,,https://www.pexels.com/photo/four-women-in-front-of-green-bushes-1037989/,Hannah Nelson,people
14409951,data/raw/real/pexels/pexels_14409951.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/woman-in-blue-and-red-floral-shirt-14409951/,Céline  |,people
3171622,data/raw/real/pexels/pexels_3171622.jpg,real,pexels,,,3456,5184,jpg,2026-03-23,,,https://www.pexels.com/photo/people-crossing-on-pedestrian-lane-3171622/,Alexander Daoud,people
15190885,data/raw/real/pexels/pexels_15190885.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-person-walking-down-a-sidewalk-in-front-of-a-building-15190885/,Céline  |,people
7256266,data/raw/real/pexels/pexels_7256266.jpg,real,pexels,,,4123,6184,jpg,2026-03-23,,,https://www.pexels.com/photo/woman-standing-watching-the-man-mixing-the-resin-7256266/,Thirdman,people
5082865,data/raw/real/pexels/pexels_5082865.jpg,real,pexels,,,5000,3333,jpg,2026-03-23,,,https://www.pexels.com/photo/photo-of-a-family-eating-5082865/,Vanessa Loring,people
19345556,data/raw/real/pexels/pexels_19345556.jpg,real,pexels,,,5428,3622,jpg,2026-03-23,,,https://www.pexels.com/photo/reflection-of-a-person-in-a-window-19345556/,Blair Sugarman,people
14448268,data/raw/real/pexels/pexels_14448268.jpg,real,pexels,,,3334,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/people-walking-on-green-grass-field-under-purple-leaf-trees-14448268/,Céline  |,people
27009845,data/raw/real/pexels/pexels_27009845.jpg,real,pexels,,,6000,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/pesona-adat-dan-tradisi-suku-dayak-27009845/,Andar Motret,people
14771041,data/raw/real/pexels/pexels_14771041.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/christmas-tree-in-the-atrium-of-a-shopping-mall-14771041/,Céline  |,people
31260162,data/raw/real/pexels/pexels_31260162.png,real,pexels,,,7008,4672,png,2026-03-23,,,https://www.pexels.com/photo/urban-street-scene-in-japanese-city-daylight-31260162/,Sab Wang,people
14771098,data/raw/real/pexels/pexels_14771098.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-street-with-a-sign-that-says-m-on-it-14771098/,Céline  |,people
17179703,data/raw/real/pexels/pexels_17179703.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-man-in-a-jacket-and-tie-waving-at-the-camera-17179703/,Céline  |,people
18631363,data/raw/real/pexels/pexels_18631363.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-man-looking-at-paintings-in-an-art-museum-18631363/,Céline  |,people
908602,data/raw/real/pexels/pexels_908602.jpg,real,pexels,,,2000,1333,jpg,2026-03-23,,,https://www.pexels.com/photo/two-women-smiling-908602/,Daniel Xavier,people
13412722,data/raw/real/pexels/pexels_13412722.jpg,real,pexels,,,3439,5158,jpg,2026-03-23,,,https://www.pexels.com/photo/backview-of-person-walking-near-buildings-13412722/,che YU,people
14448249,data/raw/real/pexels/pexels_14448249.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/people-walking-on-street-14448249/,Céline  |,people
414032,data/raw/real/pexels/pexels_414032.jpg,real,pexels,,,1620,2160,jpg,2026-03-23,,,https://www.pexels.com/photo/man-and-woman-lying-on-bed-414032/,Pixabay,people
17443856,data/raw/real/pexels/pexels_17443856.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-window-with-a-coffee-machine-and-a-person-17443856/,Céline  |,people
206493,data/raw/real/pexels/pexels_206493.jpg,real,pexels,,,3652,2430,jpg,2026-03-23,,,https://www.pexels.com/photo/two-women-wearing-pink-t-shirts-206493/,Pixabay,people
4481328,data/raw/real/pexels/pexels_4481328.jpg,real,pexels,,,6000,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/men-working-in-a-warehouse-4481328/,Tiger Lily,people
708392,data/raw/real/pexels/pexels_708392.jpg,real,pexels,,,5090,3393,jpg,2026-03-23,,,https://www.pexels.com/photo/group-of-people-having-fun-together-under-the-sun-708392/,Helena Lopes,people
30799112,data/raw/real/pexels/pexels_30799112.jpg,real,pexels,,,2918,4378,jpg,2026-03-23,,,https://www.pexels.com/photo/colorful-nigerian-horse-riders-near-a-minaret-30799112/,Alee Abdullahi (DC__SHOT),people
4610,data/raw/real/pexels/pexels_4610.jpg,real,pexels,,,5056,3246,jpg,2026-03-23,,,https://www.pexels.com/photo/stairs-people-airport-escalators-4610/,Gratisography,people
14052993,data/raw/real/pexels/pexels_14052993.jpg,real,pexels,,,3291,4936,jpg,2026-03-23,,,https://www.pexels.com/photo/pedestrians-on-sidewalk-seen-through-gate-14052993/,Rookey Pain,people
34761,data/raw/real/pexels/pexels_34761.jpg,real,pexels,,,4928,3264,jpg,2026-03-23,,,https://www.pexels.com/photo/man-standing-beside-woman-on-swing-34761/,Pixabay,people
4869697,data/raw/real/pexels/pexels_4869697.jpg,real,pexels,,,2336,3500,jpg,2026-03-23,,,https://www.pexels.com/photo/woman-in-white-dress-holding-bouquet-of-flowers-4869697/,Leeloo The First,people
14085339,data/raw/real/pexels/pexels_14085339.jpg,real,pexels,,,3973,5297,jpg,2026-03-23,,,https://www.pexels.com/photo/backview-of-people-holding-torch-while-walking-on-a-forest-during-evening-14085339/,Ranger Zang,people
1438072,data/raw/real/pexels/pexels_1438072.jpg,real,pexels,,,6016,4016,jpg,2026-03-23,,,https://www.pexels.com/photo/three-persons-sitting-on-the-stairs-talking-with-each-other-1438072/,Marta Klement,people
14053427,data/raw/real/pexels/pexels_14053427.jpg,real,pexels,,,5184,3456,jpg,2026-03-23,,,https://www.pexels.com/photo/sidewalk-restaurant-and-motorcycles-parked-on-the-roadside-at-dusk-14053427/,Rookey Pain,people
27009840,data/raw/real/pexels/pexels_27009840.jpg,real,pexels,,,6000,4000,jpg,2026-03-23,,,https://www.pexels.com/photo/pesona-adat-dan-tradisi-suku-dayak-27009840/,Andar Motret,people
15652072,data/raw/real/pexels/pexels_15652072.jpg,real,pexels,,,3648,5472,jpg,2026-03-23,,,https://www.pexels.com/photo/pedestrians-at-zebra-crossing-15652072/,Elina Volkova,people
14495021,data/raw/real/pexels/pexels_14495021.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/people-walking-on-street-near-white-concrete-building-14495021/,Céline  |,people
7149165,data/raw/real/pexels/pexels_7149165.jpg,real,pexels,,,5184,2920,jpg,2026-03-23,,,https://www.pexels.com/photo/group-of-friends-singing-while-sitting-on-beach-sand-7149165/,Kindel Media,people
5081501,data/raw/real/pexels/pexels_5081501.jpg,real,pexels,,,6240,4160,jpg,2026-03-23,,,https://www.pexels.com/photo/photo-of-people-sitting-on-a-rock-5081501/,cottonbro studio,people
19364277,data/raw/real/pexels/pexels_19364277.jpg,real,pexels,,,6127,4085,jpg,2026-03-23,,,https://www.pexels.com/photo/romantic-young-couple-on-bench-19364277/,Yifan Lai,people
1549280,data/raw/real/pexels/pexels_1549280.jpg,real,pexels,,,5189,3671,jpg,2026-03-23,,,https://www.pexels.com/photo/two-women-sitting-on-white-bench-1549280/,Elle Hughes,people
17660924,data/raw/real/pexels/pexels_17660924.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-newspaper-with-the-headline-la-famille-on-it-17660924/,Céline  |,people
14085337,data/raw/real/pexels/pexels_14085337.jpg,real,pexels,,,4160,5547,jpg,2026-03-23,,,https://www.pexels.com/photo/people-carrying-torches-at-night-14085337/,Ranger Zang,people
14448348,data/raw/real/pexels/pexels_14448348.jpg,real,pexels,,,3333,5000,jpg,2026-03-23,,,https://www.pexels.com/photo/a-woman-and-a-dog-are-sitting-under-a-tree-14448348/,Céline  |,people
27603695,data/raw/real/pexels/pexels_27603695.jpg,real,pexels,,,5000,3333,jpg,2026-03-23,,,https://www.pexels.com/photo/sophisticated-meets-casual-stylish-glasses-combo-27603695/,GlassesShop GS,people
20609440,data/raw/real/pexels/pexels_20609440.jpg,real,pexels,,,3200,2561,jpg,2026-03-23,,,https://www.pexels.com/photo/men-in-city-in-black-and-white-20609440/,Altamart,people
4262424,data/raw/real/pexels/pexels_4262424.jpg,real,pexels,,,4004,6000,jpg,2026-03-23,,,https://www.pexels.com/photo/family-gathering-for-a-group-hug-4262424/,August de Richelieu,people
