image_id,filepath,label,source,generator_name,generator_family,width,height,format,split,notes,category_seed,filename,is_ai,aspect_ratio,megapixels,exists_on_disk,min_side,max_side,is_square,random_split,heldout_generator_split
2246789,data/processed/images/real/pexels_2246789.jpg,real,pexels,,,410,512,jpg,,,,pexels_2246789.jpg,0,0.8,11.79648,True,3072,3840,False,train,train
4260315,data/processed/images/real/pexels_4260315.jpg,real,pexels,,,512,342,jpg,,,,pexels_4260315.jpg,0,1.498371335504886,36.15232,True,4912,7360,False,val,val
33017758,data/processed/images/real/pexels_33017758.jpg,real,pexels,,,341,512,jpg,,,,pexels_33017758.jpg,0,0.6666666666666666,30.1056,True,4480,6720,False,train,train
27009846,data/processed/images/real/pexels_27009846.jpg,real,pexels,,,512,341,jpg,,,,pexels_27009846.jpg,0,1.5,24.0,True,4000,6000,False,train,train
5082949,data/processed/images/real/pexels_5082949.jpg,real,pexels,,,512,341,jpg,,,,pexels_5082949.jpg,0,1.5000913242009133,44.966175,True,5475,8213,False,train,test
17737871,data/processed/images/real/pexels_17737871.jpg,real,pexels,,,341,512,jpg,,,,pexels_17737871.jpg,0,0.6666666666666666,24.0,True,4000,6000,False,train,train
17586141,data/processed/images/real/pexels_17586141.jpg,real,pexels,,,512,382,jpg,,,,pexels_17586141.jpg,0,1.34125,21.46,True,4000,5365,False,train,train
708440,data/processed/images/real/pexels_708440.jpg,real,pexels,,,512,361,jpg,,,,pexels_708440.jpg,0,1.4180372807017545,18.871104,True,3648,5173,False,train,train
8396309,data/processed/images/real/pexels_8396309.jpg,real,pexels,,,512,341,jpg,,,,pexels_8396309.jpg,0,1.5,30.1056,True,4480,6720,False,train,val
2884576,data/processed/images/real/pexels_2884576.jpg,real,pexels,,,512,341,jpg,,,,pexels_2884576.jpg,0,1.4998552821997106,17.90381,True,3455,5182,False,test,train
17680003,data/processed/images/real/pexels_17680003.jpg,real,pexels,,,512,341,jpg,,,,pexels_17680003.jpg,0,1.5,24.0,True,4000,6000,False,train,train
29870955,data/processed/images/real/pexels_29870955.jpg,real,pexels,,,337,512,jpg,,,,pexels_29870955.jpg,0,0.6576133447390933,14.3787,True,3075,4676,False,val,val
1037989,data/processed/images/real/pexels_1037989.jpg,real,pexels,,,512,341,jpg,,,,pexels_1037989.jpg,0,1.5,12.166656,True,2848,4272,False,train,train
14409951,data/processed/images/real/pexels_14409951.jpg,real,pexels,,,341,512,jpg,,,,pexels_14409951.jpg,0,0.6666,16.665,True,3333,5000,False,train,test
3171622,data/processed/images/real/pexels_3171622.jpg,real,pexels,,,341,512,jpg,,,,pexels_3171622.jpg,0,0.6666666666666666,17.915904,True,3456,5184,False,train,val
15190885,data/processed/images/real/pexels_15190885.jpg,real,pexels,,,341,512,jpg,,,,pexels_15190885.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
7256266,data/processed/images/real/pexels_7256266.jpg,real,pexels,,,341,512,jpg,,,,pexels_7256266.jpg,0,0.6667205692108668,25.496632,True,4123,6184,False,train,test
5082865,data/processed/images/real/pexels_5082865.jpg,real,pexels,,,512,341,jpg,,,,pexels_5082865.jpg,0,1.5001500150015,16.665,True,3333,5000,False,train,test
19345556,data/processed/images/real/pexels_19345556.jpg,real,pexels,,,512,342,jpg,,,,pexels_19345556.jpg,0,1.4986195472114854,19.660216,True,3622,5428,False,val,train
14448268,data/processed/images/real/pexels_14448268.jpg,real,pexels,,,341,512,jpg,,,,pexels_14448268.jpg,0,0.6668,16.67,True,3334,5000,False,train,val
27009845,data/processed/images/real/pexels_27009845.jpg,real,pexels,,,512,341,jpg,,,,pexels_27009845.jpg,0,1.5,24.0,True,4000,6000,False,val,test
14771041,data/processed/images/real/pexels_14771041.jpg,real,pexels,,,341,512,jpg,,,,pexels_14771041.jpg,0,0.6666,16.665,True,3333,5000,False,train,test
31260162,data/processed/images/real/pexels_31260162.jpg,real,pexels,,,512,341,jpg,,,,pexels_31260162.png,0,1.5,32.741376,True,4672,7008,False,train,val
14771098,data/processed/images/real/pexels_14771098.jpg,real,pexels,,,341,512,jpg,,,,pexels_14771098.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
17179703,data/processed/images/real/pexels_17179703.jpg,real,pexels,,,341,512,jpg,,,,pexels_17179703.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
18631363,data/processed/images/real/pexels_18631363.jpg,real,pexels,,,341,512,jpg,,,,pexels_18631363.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
908602,data/processed/images/real/pexels_908602.jpg,real,pexels,,,512,341,jpg,,,,pexels_908602.jpg,0,1.5003750937734437,2.666,True,1333,2000,False,train,val
13412722,data/processed/images/real/pexels_13412722.jpg,real,pexels,,,341,512,jpg,,,,pexels_13412722.jpg,0,0.6667312911981388,17.738362,True,3439,5158,False,train,train
14448249,data/processed/images/real/pexels_14448249.jpg,real,pexels,,,341,512,jpg,,,,pexels_14448249.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
414032,data/processed/images/real/pexels_414032.jpg,real,pexels,,,384,512,jpg,,,,pexels_414032.jpg,0,0.75,3.4992,True,1620,2160,False,train,train
17443856,data/processed/images/real/pexels_17443856.jpg,real,pexels,,,341,512,jpg,,,,pexels_17443856.jpg,0,0.6666,16.665,True,3333,5000,False,train,train
206493,data/processed/images/real/pexels_206493.jpg,real,pexels,,,512,341,jpg,,,,pexels_206493.jpg,0,1.502880658436214,8.87436,True,2430,3652,False,train,train
4481328,data/processed/images/real/pexels_4481328.jpg,real,pexels,,,512,341,jpg,,,,pexels_4481328.jpg,0,1.5,24.0,True,4000,6000,False,train,train
708392,data/processed/images/real/pexels_708392.jpg,real,pexels,,,512,341,jpg,,,,pexels_708392.jpg,0,1.5001473622163275,17.27037,True,3393,5090,False,train,train
30799112,data/processed/images/real/pexels_30799112.jpg,real,pexels,,,341,512,jpg,,,,pexels_30799112.jpg,0,0.6665143901324806,12.775004,True,2918,4378,False,train,test
4610,data/processed/images/real/pexels_4610.jpg,real,pexels,,,512,329,jpg,,,,pexels_4610.jpg,0,1.5576093653727665,16.411776,True,3246,5056,False,test,val
14052993,data/processed/images/real/pexels_14052993.jpg,real,pexels,,,341,512,jpg,,,,pexels_14052993.jpg,0,0.6667341977309562,16.244376,True,3291,4936,False,train,train
