image_id,filepath,label,source,generator_name,generator_family,width,height,format,split,notes,category_seed,filename,is_ai,aspect_ratio,megapixels,exists_on_disk,min_side,max_side,is_square
2246789,data/raw/real/pexels/pexels_2246789.jpg,real,pexels,,,3072,3840,jpg,,,,pexels_2246789.jpg,0,0.8,11.79648,True,3072,3840,False
4260315,data/raw/real/pexels/pexels_4260315.jpg,real,pexels,,,7360,4912,jpg,,,,pexels_4260315.jpg,0,1.498371335504886,36.15232,True,4912,7360,False
33017758,data/raw/real/pexels/pexels_33017758.jpg,real,pexels,,,4480,6720,jpg,,,,pexels_33017758.jpg,0,0.6666666666666666,30.1056,True,4480,6720,False
27009846,data/raw/real/pexels/pexels_27009846.jpg,real,pexels,,,6000,4000,jpg,,,,pexels_27009846.jpg,0,1.5,24.0,True,4000,6000,False
5082949,data/raw/real/pexels/pexels_5082949.jpg,real,pexels,,,8213,5475,jpg,,,,pexels_5082949.jpg,0,1.5000913242009133,44.966175,True,5475,8213,False
17737871,data/raw/real/pexels/pexels_17737871.jpg,real,pexels,,,4000,6000,jpg,,,,pexels_17737871.jpg,0,0.6666666666666666,24.0,True,4000,6000,False
17586141,data/raw/real/pexels/pexels_17586141.jpg,real,pexels,,,5365,4000,jpg,,,,pexels_17586141.jpg,0,1.34125,21.46,True,4000,5365,False
708440,data/raw/real/pexels/pexels_708440.jpg,real,pexels,,,5173,3648,jpg,,,,pexels_708440.jpg,0,1.4180372807017543,18.871104,True,3648,5173,False
8396309,data/raw/real/pexels/pexels_8396309.jpg,real,pexels,,,6720,4480,jpg,,,,pexels_8396309.jpg,0,1.5,30.1056,True,4480,6720,False
2884576,data/raw/real/pexels/pexels_2884576.jpg,real,pexels,,,5182,3455,jpg,,,,pexels_2884576.jpg,0,1.4998552821997106,17.90381,True,3455,5182,False
17680003,data/raw/real/pexels/pexels_17680003.jpg,real,pexels,,,6000,4000,jpg,,,,pexels_17680003.jpg,0,1.5,24.0,True,4000,6000,False
29870955,data/raw/real/pexels/pexels_29870955.jpg,real,pexels,,,3075,4676,jpg,,,,pexels_29870955.jpg,0,0.6576133447390933,14.3787,True,3075,4676,False
1037989,data/raw/real/pexels/pexels_1037989.jpg,real,pexels,,,4272,2848,jpg,,,,pexels_1037989.jpg,0,1.5,12.166656,True,2848,4272,False
14409951,data/raw/real/pexels/pexels_14409951.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_14409951.jpg,0,0.6666,16.665,True,3333,5000,False
3171622,data/raw/real/pexels/pexels_3171622.jpg,real,pexels,,,3456,5184,jpg,,,,pexels_3171622.jpg,0,0.6666666666666666,17.915904,True,3456,5184,False
15190885,data/raw/real/pexels/pexels_15190885.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_15190885.jpg,0,0.6666,16.665,True,3333,5000,False
7256266,data/raw/real/pexels/pexels_7256266.jpg,real,pexels,,,4123,6184,jpg,,,,pexels_7256266.jpg,0,0.6667205692108668,25.496632,True,4123,6184,False
5082865,data/raw/real/pexels/pexels_5082865.jpg,real,pexels,,,5000,3333,jpg,,,,pexels_5082865.jpg,0,1.5001500150015001,16.665,True,3333,5000,False
19345556,data/raw/real/pexels/pexels_19345556.jpg,real,pexels,,,5428,3622,jpg,,,,pexels_19345556.jpg,0,1.4986195472114854,19.660216,True,3622,5428,False
14448268,data/raw/real/pexels/pexels_14448268.jpg,real,pexels,,,3334,5000,jpg,,,,pexels_14448268.jpg,0,0.6668,16.67,True,3334,5000,False
27009845,data/raw/real/pexels/pexels_27009845.jpg,real,pexels,,,6000,4000,jpg,,,,pexels_27009845.jpg,0,1.5,24.0,True,4000,6000,False
14771041,data/raw/real/pexels/pexels_14771041.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_14771041.jpg,0,0.6666,16.665,True,3333,5000,False
31260162,data/raw/real/pexels/pexels_31260162.png,real,pexels,,,7008,4672,png,,,,pexels_31260162.png,0,1.5,32.741376,True,4672,7008,False
14771098,data/raw/real/pexels/pexels_14771098.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_14771098.jpg,0,0.6666,16.665,True,3333,5000,False
17179703,data/raw/real/pexels/pexels_17179703.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_17179703.jpg,0,0.6666,16.665,True,3333,5000,False
18631363,data/raw/real/pexels/pexels_18631363.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_18631363.jpg,0,0.6666,16.665,True,3333,5000,False
908602,data/raw/real/pexels/pexels_908602.jpg,real,pexels,,,2000,1333,jpg,,,,pexels_908602.jpg,0,1.5003750937734435,2.666,True,1333,2000,False
13412722,data/raw/real/pexels/pexels_13412722.jpg,real,pexels,,,3439,5158,jpg,,,,pexels_13412722.jpg,0,0.6667312911981388,17.738362,True,3439,5158,False
14448249,data/raw/real/pexels/pexels_14448249.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_14448249.jpg,0,0.6666,16.665,True,3333,5000,False
414032,data/raw/real/pexels/pexels_414032.jpg,real,pexels,,,1620,2160,jpg,,,,pexels_414032.jpg,0,0.75,3.4992,True,1620,2160,False
17443856,data/raw/real/pexels/pexels_17443856.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_17443856.jpg,0,0.6666,16.665,True,3333,5000,False
206493,data/raw/real/pexels/pexels_206493.jpg,real,pexels,,,3652,2430,jpg,,,,pexels_206493.jpg,0,1.502880658436214,8.87436,True,2430,3652,False
4481328,data/raw/real/pexels/pexels_4481328.jpg,real,pexels,,,6000,4000,jpg,,,,pexels_4481328.jpg,0,1.5,24.0,True,4000,6000,False
708392,data/raw/real/pexels/pexels_708392.jpg,real,pexels,,,5090,3393,jpg,,,,pexels_708392.jpg,0,1.5001473622163277,17.27037,True,3393,5090,False
30799112,data/raw/real/pexels/pexels_30799112.jpg,real,pexels,,,2918,4378,jpg,,,,pexels_30799112.jpg,0,0.6665143901324806,12.775004,True,2918,4378,False
4610,data/raw/real/pexels/pexels_4610.jpg,real,pexels,,,5056,3246,jpg,,,,pexels_4610.jpg,0,1.5576093653727665,16.411776,True,3246,5056,False
14052993,data/raw/real/pexels/pexels_14052993.jpg,real,pexels,,,3291,4936,jpg,,,,pexels_14052993.jpg,0,0.6667341977309562,16.244376,True,3291,4936,False
34761,data/raw/real/pexels/pexels_34761.jpg,real,pexels,,,4928,3264,jpg,,,,pexels_34761.jpg,0,1.5098039215686274,16.084992,True,3264,4928,False
4869697,data/raw/real/pexels/pexels_4869697.jpg,real,pexels,,,2336,3500,jpg,,,,pexels_4869697.jpg,0,0.6674285714285715,8.176,True,2336,3500,False
14085339,data/raw/real/pexels/pexels_14085339.jpg,real,pexels,,,3973,5297,jpg,,,,pexels_14085339.jpg,0,0.7500471965263357,21.044981,True,3973,5297,False
1438072,data/raw/real/pexels/pexels_1438072.jpg,real,pexels,,,6016,4016,jpg,,,,pexels_1438072.jpg,0,1.49800796812749,24.160256,True,4016,6016,False
14053427,data/raw/real/pexels/pexels_14053427.jpg,real,pexels,,,5184,3456,jpg,,,,pexels_14053427.jpg,0,1.5,17.915904,True,3456,5184,False
27009840,data/raw/real/pexels/pexels_27009840.jpg,real,pexels,,,6000,4000,jpg,,,,pexels_27009840.jpg,0,1.5,24.0,True,4000,6000,False
15652072,data/raw/real/pexels/pexels_15652072.jpg,real,pexels,,,3648,5472,jpg,,,,pexels_15652072.jpg,0,0.6666666666666666,19.961856,True,3648,5472,False
14495021,data/raw/real/pexels/pexels_14495021.jpg,real,pexels,,,3333,5000,jpg,,,,pexels_14495021.jpg,0,0.6666,16.665,True,3333,5000,False
7149165,data/raw/real/pexels/pexels_7149165.jpg,real,pexels,,,5184,2920,jpg,,,,pexels_7149165.jpg,0,1.7753424657534247,15.13728,True,2920,5184,False
5081501,data/raw/real/pexels/pexels_5081501.jpg,real,pexels,,,6240,4160,jpg,,,,pexels_5081501.jpg,0,1.5,25.9584,True,4160,6240,False
19364277,data/raw/real/pexels/pexels_19364277.jpg,real,pexels,,,6127,4085,jpg,,,,pexels_19364277.jpg,0,1.499877600979192,25.028795,True,4085,6127,False
